,OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent,Crime_count
42,134,2702,1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",6306,78976.0,791500.0,0.27699999999999997,0.6638,0.765,0.33799999999999997,0.023,3.0
43,135,2801,1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",4169,53568.0,387300.0,0.529,0.4629,0.825,0.239,0.023,3.0
44,89,2802,1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",4651,59811.0,346800.0,0.48700000000000004,0.4777,0.816,0.28300000000000003,0.034,5.0
45,90,2900,1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",4465,103700.0,615300.0,0.349,0.6306,0.87,0.235,0.017,6.0
46,91,3000,1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",3279,67457.0,684200.0,0.309,0.6397,0.757,0.235,0.032,6.0
47,92,3100,1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",3282,94939.0,618200.0,0.254,0.5637,0.765,0.257,0.033,9.0
48,93,3200,1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",4822,92375.0,489300.0,0.14800000000000002,0.4557,0.731,0.325,0.03,11.0
49,37,3301,1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",4066,121250.0,688600.0,0.168,0.7353,0.818,0.275,0.042,7.0
50,38,3302,1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",2256,112426.0,719600.0,0.139,0.7494,0.8190000000000001,0.22699999999999998,0.048,3.0
51,1,3400,1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",4901,88772.0,700900.0,0.162,0.5873,0.522,0.11,0.026000000000000002,7.0
52,2,3500,1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",5539,87813.0,529100.0,0.18100000000000002,0.5501,0.5770000000000001,0.136,0.018000000000000002,12.0
53,3,3600,1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",4833,93734.0,619600.0,0.374,0.7146,0.868,0.18600000000000003,0.046,12.0
54,4,3700,1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",5917,79440.0,488800.0,0.515,0.5686,0.789,0.19,0.013999999999999999,8.0
55,5,3800,1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",5259,98093.0,647700.0,0.37,0.7471,0.792,0.315,0.031,2.0
56,6,3900,1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",4643,97557.0,423300.0,0.503,0.8731,0.8690000000000001,0.305,0.042,1.0
57,20,4001,1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",4400,118988.0,570500.0,0.35200000000000004,0.897,0.851,0.363,0.023,
58,21,4002,1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",3190,102455.0,614000.0,0.35,0.9285,0.855,0.298,0.039,7.0
