offense_text,LONGITUDE,LATITUDE
robbery,-76.97232369,38.86287044
robbery,-76.97266669,38.869816
robbery,-76.98653624,38.83273071
homicide,-76.98447159,38.89968997
assault w/dangerous weapon,-76.97923062,38.84522436
assault w/dangerous weapon,-76.98451318,38.92050825
homicide,-76.98231603,38.85239558
assault w/dangerous weapon,-76.915043,38.89513791
robbery,-76.96561198,38.87488587
homicide,-76.92923379,38.89457984
robbery,-77.02629717,38.90368775
robbery,-77.07088422,38.93214454
robbery,-77.02876793,38.91260543
assault w/dangerous weapon,-76.98213038,38.90366232
assault w/dangerous weapon,-77.01067639,38.90856374
robbery,-77.00175036,38.82162403
robbery,-77.02498413,38.90723733
robbery,-77.03261533,38.90452393
homicide,-76.93927414,38.88097383
robbery,-76.95174774,38.8929698
robbery,-77.03541552,38.92505311
robbery,-77.02765849,38.96553843
robbery,-76.99955075,38.84401907
robbery,-76.91570856,38.8879407
assault w/dangerous weapon,-76.97666751,38.89825634
assault w/dangerous weapon,-76.92131046,38.88781849
homicide,-76.98265803,38.86725953
robbery,-76.9961879,38.83007392
robbery,-77.01709767,38.95378468
robbery,-76.97735689,38.8691684
assault w/dangerous weapon,-77.00028789,38.82203843
robbery,-77.00802683,38.82605593
robbery,-76.94115013,38.88413673
robbery,-76.99320988,38.90019527
robbery,-76.9673089,38.91892825
robbery,-77.03081209,38.92028001
robbery,-76.93550042,38.89926782
robbery,-76.94582838,38.88566141
assault w/dangerous weapon,-77.02502702,38.9309112
sex abuse,-76.96456907,38.93286332
robbery,-76.9864229,38.94423636
robbery,-77.00351648,38.90782549
robbery,-77.01048903,38.9673609
assault w/dangerous weapon,-76.97262122,38.89822844
homicide,-76.98246563,38.89996894
assault w/dangerous weapon,-76.93223346,38.89187911
assault w/dangerous weapon,-76.99748904,38.83797438
robbery,-76.98077903,38.87010589
robbery,-76.9674457,38.92236947
assault w/dangerous weapon,-77.02719732,38.93629768
assault w/dangerous weapon,-76.95858639,38.86775794
robbery,-76.98757238,38.90131184
robbery,-76.99557334,38.89733073
robbery,-76.95385171,38.88361996
assault w/dangerous weapon,-76.99502376,38.84355053
assault w/dangerous weapon,-76.98099192,38.84955772
assault w/dangerous weapon,-76.94592059,38.90086759
robbery,-77.02511105,38.94027081
assault w/dangerous weapon,-76.9326284,38.876475
robbery,-76.99090372,38.90420383
robbery,-76.98544051,38.84049586
assault w/dangerous weapon,-77.03280933,38.90019987
robbery,-76.96481233,38.9307104
assault w/dangerous weapon,-76.98691131,38.8599993
assault w/dangerous weapon,-76.96599133,38.87685882
robbery,-76.99716323,38.92093264
assault w/dangerous weapon,-76.96238324,38.92236795
robbery,-77.00943151,38.91096006
assault w/dangerous weapon,-77.00133803,38.94074193
robbery,-77.01108947,38.82162351
robbery,-76.99723535,38.84528923
robbery,-76.98920321,38.86614327
assault w/dangerous weapon,-77.01344219,38.90169909
assault w/dangerous weapon,-77.00471144,38.84568554
assault w/dangerous weapon,-76.94626167,38.8918864
robbery,-76.94720947,38.90396705
homicide,-76.93961778,38.91071063
assault w/dangerous weapon,-77.00734796,38.83174032
homicide,-76.95680033,38.88679203
assault w/dangerous weapon,-76.97614246,38.84813349
robbery,-77.02183142,38.92793009
robbery,-76.93536877,38.89188989
assault w/dangerous weapon,-76.99723535,38.84528923
robbery,-76.9890914,38.84379335
robbery,-76.98551053,38.89278969
assault w/dangerous weapon,-77.08455093,38.96101601
assault w/dangerous weapon,-77.00891275,38.81938059
robbery,-77.02298661,38.93388436
robbery,-76.98150105,38.88534821
robbery,-76.99183434,38.83162316
robbery,-76.98294178,38.88534843
robbery,-76.98261517,38.90127518
robbery,-76.96270338,38.86148046
robbery,-77.00753922,38.89788908
robbery,-77.03233059,38.96307798
robbery,-76.98735383,38.89852824
assault w/dangerous weapon,-76.93860226,38.91174606
robbery,-76.93612463,38.8973764
robbery,-77.02431029,38.92600183
robbery,-77.01755882,38.90563519
robbery,-76.99315012,38.92221165
assault w/dangerous weapon,-76.94459677,38.89837165
assault w/dangerous weapon,-76.93927414,38.88097383
robbery,-76.92295332,38.90347613
robbery,-77.02316942,38.92857843
robbery,-77.001935,38.83610063
assault w/dangerous weapon,-76.98334049,38.90542813
assault w/dangerous weapon,-76.99892848,38.85992796
assault w/dangerous weapon,-76.97988707,38.88663614
assault w/dangerous weapon,-76.96560184,38.87200318
assault w/dangerous weapon,-76.97622914,38.89917511
assault w/dangerous weapon,-77.04257585,38.903737
robbery,-76.9966594,38.84508202
assault w/dangerous weapon,-76.98246563,38.89996894
robbery,-76.97203523,38.86388832
robbery,-77.02655109,38.93544204
robbery,-76.94578579,38.86586994
assault w/dangerous weapon,-77.00502464,38.8764763
robbery,-76.9281819,38.88602124
robbery,-77.03455556,38.91149584
robbery,-77.02785456,38.93579306
assault w/dangerous weapon,-77.06195476,38.90258427
assault w/dangerous weapon,-76.92901929,38.8784547
robbery,-76.99959618,38.95907378
